;image;nnodes;width;height;npixels;runtime_incr_contour_rb;runtime_incr_contour_hm;runtime_non_incr_contour
0;2.pgm;2;400;611;244400;19;19;34
1;3.pgm;12174;320;320;102400;89;91;832
2;barb.pgm;62591;512;512;262144;327;287;3374
3;bird.pgm;7502;256;256;65536;40;34;612
4;boat.pgm;57281;512;512;262144;254;233;4173
5;bridge.pgm;19065;256;256;65536;96;91;964
6;camera.pgm;15079;256;256;65536;64;63;897
7;Fig.5.pgm;448;560;500;280000;40;44;714
8;Fig.17.pgm;4448;600;424;254400;92;96;6595
9;goldhill.pgm;60303;512;512;262144;257;236;3238
10;house.pgm;12641;256;256;65536;58;55;933
11;lena.pgm;49962;512;512;262144;215;192;3157
12;mandrill.pgm;85621;512;512;262144;460;402;4937
13;mountain.pgm;78546;640;480;307200;337;285;2259
14;output6.pgm;32687;540;460;248400;219;203;4159
15;peppers.pgm;62853;512;512;262144;211;194;3366
16;w2.pgm;42848;600;450;270000;202;188;3427
17;w6.pgm;28542;500;286;143000;125;119;2087
18;washsat.pgm;23318;512;512;262144;80;68;210
19;zelda.pgm;45342;512;512;262144;179;161;2843
