;image;nnodes;width;height;npixels;runtime_incr_contour;runtime_non_incr_contour
0;2.pgm;2;400;611;244400;54;82
1;3.pgm;12174;320;320;102400;498;2743
2;barb.pgm;62591;512;512;262144;1769;11354
3;bird.pgm;7502;256;256;65536;188;1732
4;boat.pgm;57281;512;512;262144;1389;13507
5;bridge.pgm;19065;256;256;65536;537;3500
6;camera.pgm;15079;256;256;65536;351;2967
7;Fig.5.pgm;448;560;500;280000;193;1799
8;Fig.17.pgm;4448;600;424;254400;578;16093
9;goldhill.pgm;60303;512;512;262144;1348;10645
10;house.pgm;12641;256;256;65536;316;2896
11;lena.pgm;49962;512;512;262144;1133;10077
12;mandrill.pgm;85621;512;512;262144;2493;17209
13;mountain.pgm;78546;640;480;307200;1690;7973
14;output6.pgm;32687;540;460;248400;1210;12493
15;peppers.pgm;62853;512;512;262144;1091;11207
16;w2.pgm;42848;600;450;270000;1082;10628
17;w6.pgm;28542;500;286;143000;706;6724
18;washsat.pgm;23318;512;512;262144;346;664
19;zelda.pgm;45342;512;512;262144;925;8929
